#,Название,Описание,,,,
1,Скелет Костя,"Пережил посвят, хеллоуин и несколько дедлайнов. Держится.","glowing skeleton toy standing upright, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text, cute and friendly",TRUE,,"redraw this in cartoon illustration style, soft warm pastel colors, transparent background, single object centered, no text"
2,Чокопай,Официальный торт команды. Не обсуждается.,"choco pie snack cake with chocolate coating, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
3,Эфирное масло,"Состав: слёзы разработчиков, кровь ПМ, деньги заказчиков. Успокаивает.","small amber essential oil bottle with dropper cap, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
4,Галстук-гирлянда,"Лёша знал, как одеться на корпорат. Остальные просто не успели.","necktie decorated with white tinsel, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,"redraw this necktie decorated with white tinsel in cartoon illustration style, soft warm pastel colors, transparent background, single object centered, no text"
5,Липовый чай,Липовый. Зато вкусный.,"linden tea in a cup with dried linden flowers next to it, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
6,Перевёрнутые плакаты,Дизайнеры так видят,"poster hanging upside down on wall, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
7,Пикми палочка,Молча. Но доходчиво.,"metal stick with pointing finger on top, pick me pointer stick, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
8,Киоск,Вернулся. Работает. Все слышат.,"vertical digital kiosk screen standing upright, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
9,Коптер,"Находит сундуки на радаре. Или стоит на столе у тех, кто в теме.","small cute quadcopter drone, game item style, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text ⚠️ нужен референс из Cendterra",TRUE,,
10,Сундук,Откроется. Надо только потапать.,"metallic treasure chest with metal lock, game item style, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text ⚠️ нужен референс из Cendterra",TRUE,,
11,Снежный шар,"Прародитель этой игры. Можно сказать, легенда жанра.","snow globe with small scene inside, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
12,Брошюра на работу,Легальная работа по сортировке бисера. ТелеДжобс проверил - почти.,"small colorful beads scattered with tweezers, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
13,Культурное наследие,Не трогайте. Не ешьте. ,"single chocolate fish candy wrapped in foil, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
14,Фотокамера,Меняет всё. Особенно пол.,"compact digital camera, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
15,Подписка на Perplexity,Активна. Скорее всего.,"subscription card with Perplexity logo, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text ⚠️ может не распознать логотип — попробуй сначала",TRUE,,
16,Коврик с Маканом,На нём работается лучше.,"mouse pad with portrait of a person on it, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
17,Чахохбили,Домашний обед на весь офис.,"bowl of Georgian chicken stew chakhokhbili with tomatoes and herbs, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
18,Фреди и Фортуна,Лотто смотрит на тебя. Удача — штука относительная.,"two small cute lottery figurines, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text ⚠️ нужен референс персонажей из Лотто",TRUE,,
19,Зомби-сценарий,Кирилл проработал. На всякий случай.,"zombie apocalypse survival plan document with zombie silhouette, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
20,Купон 5050,Два байтса по цене одного. Ну и ладно.,"discount coupon with 50/50 text, fast food style, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
21,Мишка Умка,Объединяет экспонаты. Экскурсоводов. И нервы команды.,"cute polar bear cub cartoon character, soft toy style, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
22,PICO 4,Ждёт зарядки. И своего часа.,"PICO 4 VR headset, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
23,Укулеле Кости,Любую песню. Только попроси.,"small ukulele instrument, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
24,Плакат ПМа,Некоторые до сих пор висят. Некоторые — нет.,"wanted missing person poster hanging on wall, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
25,Кигуруми,Не каждый день такое дарят. Но когда дарят — запоминается.,"unicorn kigurumi onesie costume folded neatly, white with rainbow mane details, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
26,Кальян,Корпорат без него не корпорат.,"hookah shisha with hose, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
27,Яблоко Киры,Кира указывает. Вакансия подозрительна.,"single red apple, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
28,Флаг,Стоит в углу. Ждёт своего часа.,"blue flag with white letter M logo made of square frames, rolled up standing in corner, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
29,Ёлочная игрушка,Делали на корпорате. Из эпоксидки и хорошего настроения.,"handmade epoxy resin christmas ornament ball, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
30,Снежинка,"Вырезали, клеили, вешали. Офис стал другим.","handmade paper snowflake decoration, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
31,Картина из эпоксидки,Делали на корпорате. Висит или лежит — уже история.,"small epoxy resin painting with colorful abstract swirls, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
32,Зарядка для айфона,Одна на многих. Только что нашли.,"iPhone lightning cable charger, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
33,Плойка без телевизора,Есть. Телевизора нет. Мечта живёт.,"PlayStation 5 console without TV, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
34,Кофе,Из кофемашины. Просто кофе. Но без него никак.,"cup of coffee from coffee machine, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
35,Колонка,Корпорат начинается с неё.,"large party bluetooth speaker, cartoon illustration, soft warm pastel colors, transparent background, simple clean style, no text",TRUE,,
